ocupacao,indice_0_1,desvio_padrao
Técnico de contabilidade,0.600000,0.547723
Supervisor administrativo,0.500000,0.612372
Administrador,0.475000,0.223607
Escriturário de banco,0.475000,0.223607
Analista financeiro (instituições financeiras),0.475000,0.223607
Analista de logistica,0.450000,0.273861
Técnico de suporte ao usuário de tecnologia da informação,0.450000,0.273861
Economista,0.450000,0.447214
Assistente administrativo,0.450000,0.570088
Analista de desenvolvimento de sistemas,0.450000,0.758288
Analista de pesquisa de mercado,0.425000,0.273861
Analista de planejamento e orçamento - apo,0.425000,0.447214
Corretor de imóveis,0.425000,0.447214
Jornalista,0.425000,0.447214
Analista de recursos humanos,0.400000,0.547723
Vendedor de comércio varejista,0.400000,0.223607
Eletricista de instalações,0.400000,0.223607
Cozinheiro geral,0.375000,0.500000
"Operador de máquinas fixas, em geral",0.375000,0.000000
Motorista de caminhão (rotas regionais e internacionais),0.375000,0.000000
Contador,0.375000,0.500000
"Mecânico de manutenção de máquinas, em geral",0.375000,0.000000
Redator de publicidade,0.350000,0.223607
Enfermeiro,0.350000,0.418330
Professor de matemática no ensino médio,0.350000,0.418330
Desenhista industrial gráfico (designer gráfico),0.325000,0.447214
Técnico de enfermagem,0.325000,0.758288
Advogado,0.300000,0.570088
Pedreiro,0.300000,0.447214
Encanador,0.275000,0.223607
